,شنبه,یکشنبه,دوشنبه,سه‌شنبه,چهارشنبه,پنجشنبه,جمعه
r-pvqxrm,"[('۰۰:۰۰', '۰۰:۳۰'), ('۱۱:۰۰', '۲۳:۵۹')]","[('۰۰:۰۰', '۰۰:۳۰'), ('۱۱:۰۰', '۲۳:۵۹')]","[('۰۰:۰۰', '۰۰:۳۰'), ('۱۱:۰۰', '۲۳:۵۹')]","[('۰۰:۰۰', '۰۰:۳۰'), ('۱۱:۰۰', '۲۳:۵۹')]","[('۰۰:۰۰', '۰۰:۳۰'), ('۱۱:۰۰', '۲۳:۵۹')]","[('۰۰:۰۰', '۰۰:۳۰'), ('۱۱:۰۰', '۲۳:۵۹')]","[('۰۰:۰۰', '۰۰:۳۰'), ('۱۱:۰۰', '۲۳:۵۹')]"
r-3x2rz9,"[('۱۱:۰۰', '۲۳:۵۹')]","[('۱۱:۰۰', '۲۳:۵۹')]","[('۱۱:۰۰', '۲۳:۵۹')]","[('۱۱:۰۰', '۲۳:۵۹')]","[('۱۱:۰۰', '۲۳:۵۹')]","[('۱۱:۰۰', '۲۳:۵۹')]","[('۱۱:۰۰', '۲۳:۵۹')]"
r-3eqwzm,"[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]"
r-32yyq2,"[('۱۲:۰۰', '۱۶:۰۰'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۶:۰۰'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۶:۰۰'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۶:۰۰'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۶:۰۰'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۶:۰۰'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۶:۰۰'), ('۱۹:۰۰', '۲۲:۳۰')]"
r-37y849,"[('۱۱:۳۰', '۲۳:۳۰')]","[('۱۱:۳۰', '۲۳:۳۰')]","[('۱۱:۳۰', '۲۳:۳۰')]","[('۱۱:۳۰', '۲۳:۳۰')]","[('۱۱:۳۰', '۲۳:۳۰')]","[('۱۱:۳۰', '۲۳:۳۰')]","[('۱۱:۳۰', '۲۳:۳۰')]"
r-0m8e4y,"[('۱۲:۰۰', '۱۵:۴۵'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۵:۴۵'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۵:۴۵'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۵:۴۵'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۵:۴۵'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۵:۴۵'), ('۱۹:۰۰', '۲۲:۳۰')]","[('۱۲:۰۰', '۱۵:۴۵'), ('۱۹:۰۰', '۲۲:۳۰')]"
r-0gvw82,"[('۱۰:۰۰', '۲۳:۰۰')]","[('۱۰:۰۰', '۲۳:۰۰')]","[('۱۰:۰۰', '۲۳:۰۰')]","[('۱۰:۰۰', '۲۳:۰۰')]","[('۱۰:۰۰', '۲۳:۰۰')]","[('۱۰:۰۰', '۲۳:۰۰')]","[('۱۰:۰۰', '۲۳:۰۰')]"
r-pozvmk,"[('۰۹:۰۰', '۲۲:۵۹')]","[('۰۹:۰۰', '۲۲:۵۹')]","[('۰۹:۰۰', '۲۲:۵۹')]","[('۰۹:۰۰', '۲۲:۵۹')]","[('۰۹:۰۰', '۲۲:۵۹')]","[('۰۹:۰۰', '۲۲:۵۹')]","[('۰۹:۰۰', '۲۲:۵۹')]"
r-o9q5dv,"[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]","[('۱۱:۰۰', '۲۳:۰۰')]"
r-31qlyy,"[('۰۸:۰۰', '۲۳:۵۹')]","[('۰۸:۰۰', '۲۳:۵۹')]","[('۰۸:۰۰', '۲۳:۵۹')]","[('۰۸:۰۰', '۲۳:۵۹')]","[('۰۸:۰۰', '۲۳:۵۹')]","[('۰۸:۰۰', '۲۳:۵۹')]","[('۰۸:۰۰', '۲۳:۵۹')]"
