,نام رستوران,دسته بندی,آدرس,شیوه پرداخت,حداقل سبد,مجموع امتیاز,میانگین امتیاز
r-pvqxrm,فست فود کلوا,"فست‌فود, پیتزا, ساندویچ, برگر","باغ فردوس، خیابان شهید صباغیان، فست فود کلوا",آنلاین,"۳۰,۰۰۰","۳,۸۱۹",۴.۲
r-3x2rz9,فست فود ستاره شهر,"فست‌فود, پیتزا, ساندویچ, برگر","بلوار ۱۷ شهریور، روبروی سرپرستی بانک ملی، فست فود ستاره شهر",آنلاین,"۲۵,۰۰۰","۸,۶۵۵",۴.۴
r-3eqwzm,فست فود وشنا,"فست‌فود, پیتزا, ساندویچ, برگر","بلوار قدس، خیابان قدس، فست فود وشنا",آنلاین,"۲۰,۰۰۰","۷,۶۲۲",۴.۲
r-32yyq2,سفره خانه سنتی ضیافت ارگ,"ایرانی, کباب, گوشت, مرغ, برگر","میدان ارگ، خیابان شیخ فضل الله نوری، نبش خیابان ششم، سفره خانه سنتی ضیافت ارگ","آنلاین، اعتبار جایزه خرید","۸۰,۰۰۰",۶۰۸,۴.۴
r-37y849,رستوران ایتالیایی ریوان,"سالاد و پیش‌غذا, پیش غذا, پیتزا, پاستا و اسپاگتی","بلوار قائم، بازارچه قائم، رستوران ایتالیایی ریوان","آنلاین، اعتبار جایزه خرید","۹۰,۰۰۰","۲,۶۵۰",۴.۳
r-0m8e4y,رستوران اندیشه,"ایرانی, کباب, چلو خورشت, پیش‌غذای ایرانی, مرغ","میدان سعدی، جنب شهرداری مرکزی، رستوران اندیشه",آنلاین,ندارد,"۱,۶۵۸",۴.۴
r-0gvw82,رستوران ایوان,"ایرانی, کباب, پیش‌غذای ایرانی",مرکزی بلوار ولیعصر فرعی ۴ کوچه نصر ۳ طبقه همکف,"آنلاین، اعتبار جایزه خرید","۴۵,۰۰۰",۳۳۷,۴.۳
r-pozvmk,رستوران دارچین,"صبحانه و میان‌وعده, صبحانه, سنتی, کباب, پیش‌غذای ایرانی","میدان مشاهیر، رستوران دارچین","آنلاین، اعتبار جایزه خرید","۱۰,۰۰۰","۲,۱۷۶",۳.۸
r-o9q5dv,فست فود آیدا,"فست‌فود, ساندویچ","باغ فردوس، روبروی بانک گردشگری، ساختمان مهدی، فست فود آیدا","آنلاین، اعتبار جایزه خرید","۳۷,۵۰۰",۹,۴
r-31qlyy,فست فود لونالانژ,"فست‌فود, پیتزا, صبحانه, برگر","بلوار قدس، باغ فامیلی (خیابان شورا)، بین فرعی ۴ام و ۶ ام ، فست فود لونالانژ","آنلاین، اعتبار جایزه خرید","۴۰,۰۰۰","۴,۶۰۱",۴.۴
r-0gwmg2,رستوران چشمه,"ایرانی, سنتی","بلوار قدس، روبروی مسجد امیرالمومنین، رستوران چشمه",آنلاین,"۲۳,۰۰۰",۲۲,۳.۶
r-37z7l9,مجموعه غذایی خوانسالار,"ایرانی, کباب","بلوار ۱۷ شهریور، خیابان هجرت، زیرپل عابر پیاده، هجرت ۹، هجرت ۹/۳، مجموعه غذایی خوانسالار","آنلاین، اعتبار جایزه خرید","۵۸,۰۰۰",۱۳۶,۳.۶
r-3edqgj,فست فود آکوویچ,"فست‌فود, ساندویچ, برگر",عدد باقی مانده,آنلاین,ندارد,۴۰۶,۴.۲
r-0yv4nm,فست فود چرب و چیلی,"فست‌فود, ساندویچ, پیتزا, برگر","میدان ارگ به سمت چهارراه علی ابن جعفر، پشت پارک ارگ،؛ پلاک ۶، فست فود چرب و چیلی",آنلاین,"۵۵,۰۰۰","۱,۲۴۸",۳.۹
r-p6j5lw,رستوران ترنج,"ایرانی, سنتی, کباب","بلوار قدس  جنب  رستوران مجلس افروز، روبروی قدس ۲۵، رستوران ترنج",آنلاین,"۳۰,۰۰۰","۱,۵۳۰",۴.۲
r-0w1rj8,رستوران سنتی نقش جهان,"ایرانی, کباب, سنتی","خیابان شهدا، خیابان کهنه دژ، جنب مسجد صاحب الزمان، رستوران سنتی نقش جهان",آنلاین,"۶۰,۰۰۰",۱۸۰,۴.۲
r-p4nqrj,فست فود ۷۴۳,"فست‌فود, پیتزا, برگر","شهرک گلشهر، خیابان پژوهش، بلوار دانشجو، فست فود ۷۴۳",آنلاین,"۹۷,۵۰۰",۵,جدید
r-qyol8x,کبابی هشت بهشت دو,"ایرانی, تهیه غذا و کترینگ","میدان کوثر، به سمت امام علی، خیابان بنیاد مسکن، انتهای کوچه سمت چپ، کبابی هشت بهشت دو",آنلاین,"۷۵,۰۰۰",۱۷,۴.۴
r-0qwgqd,کافه پارمیس,"صبحانه و میان‌وعده, نوشیدنی سرد و بستنی, صبحانه, پیتزا","باغ فردوس، کوچه چهاردهم، رو به روی دبستان هراتی، کافه پارمیس","آنلاین، اعتبار جایزه خرید","۲۲,۰۰۰",۲۰۹,۴.۴
r-p5x6nn,فست فود مرکز شهر,"ساندویچ, برگر, فست فود","چهارراه صاحب، خیابان شیخ فضل الله نوری، جنب دبیرستان شهید باهنر، طبقه همکف، مغازه تجاری، فست فود مرکز شهر","آنلاین، اعتبار جایزه خرید","۱۰۰,۰۰۰",۱۲۵,۴.۴
r-0mreqo,فست فود بان برگر,"سالاد و پیش‌غذا, پیش غذا, ساندویچ, پیتزا, سوخاری","ابتدای خیابان شیخ فضل الله نوری، ضلع غربی میدان ارگ، فست فود بان برگر","آنلاین، اعتبار جایزه خرید","۱۲۰,۰۰۰",۵۸,۴.۱
r-0w61g8,فست فود زاپاتا دایی مهدی,"فست‌فود, ساندویچ, برگر","بلوار قدس، خیابان فجر، پایین تر از دشنا، فست فود زاپاتا دایی مهدی","آنلاین، اعتبار جایزه خرید","۳۵,۰۰۰",۱۲۴,۳.۹
r-p56kvv,فست فود فرحزاد,"فست‌فود, ساندویچ, پیتزا","میدان مشاهیر، خیابان قدس نهم، سر نبش، فست فود فرحزاد","آنلاین، اعتبار جایزه خرید","۶۰,۰۰۰",۲۴۹,۴.۴
