,date,comment,rate,resturant name,preprocessed comment
0,2023-10-19,خیلی خوشمزه بود و به موقع و داغ رسید به دستم، خسته نباشید,۵,فست فود کلوا,خوشمزه موقع داغ دستم خسته بود#باش
1,2023-10-19,مرغ ها خیلی زیاد سرخ شده بودن,۳,فست فود کلوا,مرغ زیاد سرخشده
2,2023-10-17,خیلی خوشمزه بود,۵,فست فود کلوا,خوشمزه
3,2023-09-17,کیفیت بالا ولی قیمت نسبت به حجم پیتزا بالا بود,۵,فست فود کلوا,کیفیت بالا قیمت نسبت حجم پیتزا بالا
4,2023-10-03,سس بندری خیلی مزه خاصی داشت و یجورایی شیرین بود، حجم مواد داخل ساندویچ هم کم بود، در کل خیلی خیلی معمولی بود,۳,فست فود کلوا,سس بندر مزه خاص یجورایی شیرین حجم مواد داخل ساندویچ کم معمولی
5,2023-10-04,مواد پیتزا خام بود,not rated,فست فود کلوا,مواد پیتزا خام
6,2023-09-19,حجم کباب ترکی کم شده و به حجم پیاز دورچین اضافه شده بود!,۴,فست فود کلوا,حجم کباب ترکی کم حجم پیاز دورچین اضافهشده
7,2023-10-06,ببین گوجه گیلاسی ش مونده بود .کاهوش هم همینطور.خدایی حق مشتری نیست,not rated,فست فود کلوا,دید#بین گوجه گیلاس ش موندهبود کاهو همینطور خدا حق مشتری
8,2023-09-08,از خریدم خیلی پشیمون شدم... کیفیت نان سیر و پیتزا مخصوصا پنیر پیتزاش بسیار پایین بود...,not rated,فست فود کلوا,خرید#خر پشیمون شد#شو کیفیت نان سیر پیتزا مخصوصا پنیر پیتزا پایین
9,2023-09-20,نسبت به پولی ک میدین فیله های کوچیک تری میزارن,۳,فست فود کلوا,نسبت پول ک میدین فیله کوچیکتری میزارن
10,2023-08-08,"سلام و خسته نباشید خدمت مدیریت و پرسنل مجموعه خوب کلوا
تشکر بابت اینکه سفارش زودتر از موعد مقرر تحویل داده شد که این خودش یک نکته مثبت بود 
طعم مرغ سوخاری خوب یا تاحدودی معمولی و اینکه خیلی چرب بود اما حجم خوبی داشت ساندویچ مکزیکی(بندری)هم خوب بود
کلوا از فست فود های خوب و قدیمی شهر هست امیدوارم این اعتبار همیشه حفط بشه.موفق و موید باشید",۴,فست فود کلوا,سلام خسته بود#باش خدمت مدیریت پرسنل مجموعه خوب کلوا تشکر بابت سفارش زود موعد مقرر تحویل دادهشد نکته مثبت طعم مرغ سوخاری خوب تاحدودی معمولی چرب حجم ساندویچ مکزیک بندر خوب کلوا فست فودهای خوب قدیم شهر هست امیدوار اعتبار حفط بشه موفق مویید#موی بود#باش
11,2023-08-26,"با اینکه گفتم سیب زمینی بیشتر بریزین نسبت به همیشه هم کمتر ریختن
هات‌داگ‌شم از همیشه کوچک‌تر بود",۳,فست فود کلوا,گفت#گو سیبزمینی بریزین نسبت کمتر ریختن هاتداگشم کوچک
12,2023-10-07,گرم و فوق العاده خوشمزه بود,۵,فست فود کلوا,گرم فوقالعاده خوشمزه
13,2023-08-29,پیزا به حدی سرد شده بود که نمیشد خورد مثل لاستیک شده بود,not rated,فست فود کلوا,پیزا حد سرد شدهبود نمیشد خورد#خور لاستیک شدهبود
14,2023-08-08,حجمش در حد پیتزا ایتالیایی بود!، مخلفاتش کم بود، با اینکه تاکید کرده بودم چندتا سس بیشتر بذارن ولی بعد متوجه شدم ظاهرا اگر همینم نمیگفتم کلا سس نمیذاشتن!!,۳,فست فود کلوا,حجم پیتزا ایتالیایی مخلفات کم تاکید کردهبودم چندتا سس بذارن متوجه شد#شو ظاهرا همین نمیگفتم کلا سس نمیذاشتن
15,2023-09-13,با این قیمت دیگه جایی پیتزا با این حجم نمیدن اما کیفیت خیلی بالا نیست,۴,فست فود کلوا,قیمت دیگه پیتزا حجم نمیدن کیفیت بالا
16,2023-08-30,بسیار عالی تشکر,۵,فست فود کلوا,عالی تشکر
17,2023-08-10,کیفیت قبل رو ندآشت,۳,فست فود کلوا,کیفیت ندآشت
18,2023-08-19,متأسفانه کیفیت فیله سوخاری ها نازل شده بود! رنگ سیب زمینی های کنارش از بس کیفیت روغن بد بود نارنجی شده بود!. حجم سیب زمینی هم به شدت کم‌ شده بود!!!,not rated,فست فود کلوا,متأسفانه کیفیت فیله سوخاری نازل شدهبود رنگ سیبزمینیهای کنار بس کیفیت روغن بد نارنج شدهبود حجم سیبزمینی شدت کم شدهبود
19,2023-09-24,"غذا سرد بود و قارچ سوخاری نبود
سیب زمینی مانده و تلخ بود روش کمی سوخته بود",not rated,فست فود کلوا,غذا سرد قارچ سوخاری سیبزمینی مانده تلخ سوختهبود
20,2023-09-22,سس سیر اضافه که سفارش داده بودم یادشون رفته بود بزارن,۴,فست فود کلوا,سس سیر اضافه سفارش دادهبودم یادشون رفتهبود بزارن
21,2023-10-09,کیفیت نسب به سری های قبل بد و افتضاح,not rated,فست فود کلوا,کیفیت نسب سری بد افتضاح
22,2023-09-21,پیتزا فقط کمی خام بود.ولی باقی مواااااارد عالی بودند‌,۵,فست فود کلوا,پیتزا خام باقی موارد عالی
23,2023-09-12,"کیفیت فوق العاده پایین چند سفارش اخیر ائم از پیتزا کینگ ساندویچ بندری پیتزا بوقلمون که باید دنبال گوشتش بگردی پیدام کردی مزه مرغ میده 
در کل قیمت ها بالا کیفیت بسیار پایین دیگ سفارش نمیدم خدافظی با کلوا 
آدم وقتی پول میده انتظار کیفیت داره قیمت ب تنهایی بالا بردن هنر نیست ...",not rated,فست فود کلوا,کیفیت فوقالعاده پایین سفارش ائم پیتزا کینگ ساندویچ بندر پیتزا بوقلمون دنبال گوشت گشت#گرد پیدا کردی مزه مرغ میده قیمت بالا کیفیت پایین دیگ سفارش نمیدم خدافظی کلوا آدم پول میده انتظار کیفیت داره قیمت ب تنهایی بالا بردن هنر
24,2023-08-25,سلام عرض شد ،، قارچ برگر طبق ذائقه ی بنده عالی بود ، حجمش هم مناسب بود ، قارچ سوخاری هم بی نظیر بود مخصوصا اون سس  سیر کنارش ، در نهایت ممنونم از فست‌فود کلوا,۵,فست فود کلوا,سلام عرض قارچ برگر ذائقه بنده عالی حجم قارچ سوخاری بینظیر مخصوصا اون سس سیر کنار نهایت ممنون فستفود کلوا
25,2023-08-24,مثل همیشه، فوق العاده,۵,فست فود کلوا,فوقالعاده
26,2023-10-01,رفتار پرسنل عالی,۵,فست فود کلوا,رفتار پرسنل عالی
27,2023-10-01,فوق العاده بود عالی بود,۵,فست فود کلوا,فوقالعاده عالی
